$state_name=Virginia
$city_name=Charlottesville
$lat_deg=38.090
$long_deg=-78.460
$elevation=148
$timezone_offset=-75.0
temperature,humidity,solar_direct,solar_diffuse,pressure,wind_speed
1:16:0:0:0,59.360,96.833,0.000,0.000,995.000,1.118
1:16:1:0:0,58.460,98.082,0.000,0.000,995.000,0.895
1:16:2:0:0,57.740,98.076,0.000,0.000,994.000,0.895
1:16:3:0:0,57.020,98.710,0.000,0.000,994.000,0.895
1:16:4:0:0,56.300,98.706,0.000,0.000,993.000,0.895
1:16:5:0:0,55.580,98.702,0.000,0.000,993.000,0.895
1:16:6:0:0,54.860,98.052,0.000,0.000,994.000,0.895
1:16:7:0:0,53.960,96.760,0.000,0.000,994.000,1.118
1:16:8:0:0,52.520,93.573,0.000,0.000,995.000,1.566
1:16:9:0:0,50.000,88.578,0.000,0.000,996.000,1.566
1:16:10:0:0,47.480,81.999,0.000,0.000,997.000,1.566
1:16:11:0:0,45.320,76.834,0.000,0.000,998.000,1.566
1:16:12:0:0,44.240,73.538,0.000,0.000,999.000,1.566
1:16:13:0:0,44.060,69.937,0.000,2.508,999.000,1.790
1:16:14:0:0,44.600,61.498,0.000,0.557,1000.000,2.013
1:16:15:0:0,45.140,56.020,0.000,0.650,1001.000,2.237
1:16:16:0:0,45.860,52.552,0.000,2.787,1000.000,2.237
1:16:17:0:0,46.220,50.712,4.924,20.253,1000.000,2.237
1:16:18:0:0,45.500,50.974,0.000,12.356,1001.000,2.237
1:16:19:0:0,43.700,52.609,0.000,10.777,1002.000,2.237
1:16:20:0:0,41.000,55.822,0.000,4.459,1003.000,2.237
1:16:21:0:0,38.120,59.712,0.000,2.973,1004.000,2.013
1:16:22:0:0,35.780,63.070,0.000,0.000,1006.000,1.790
1:16:23:0:0,34.880,63.426,0.000,0.000,1007.000,1.790
1:17:0:0:0,33.440,63.715,0.000,0.000,1008.000,1.790
1:17:1:0:0,32.360,63.572,0.000,0.000,1009.000,1.790
1:17:2:0:0,31.280,62.944,0.000,0.000,1010.000,1.790
