# file...... ../data_powRecorderA.csv
# date...... Wed Apr 26 14:48:24 2017
# user...... gour967
# host...... (null)
# target.... meter 13
# trigger... (none)
# interval.. 1
# limit..... 0
# timestamp,measured_power_A
2017-03-28 00:00:08.200000 PDT,+1782.84+25.8419d
2017-03-28 00:00:08.210000 PDT,+1785.63+25.8419d
2017-03-28 00:00:09 PDT,+1785.63+25.8419d
2017-03-28 00:00:10 PDT,+1785.63+25.8419d
2017-03-28 00:00:11 PDT,+1785.63+25.8419d
2017-03-28 00:00:12.000000 PDT,+1785.63+25.8419d
2017-03-28 00:00:12.010000 PDT,+1785.79+25.8419d
2017-03-28 00:00:12.020000 PDT,+1781.9+25.8419d
2017-03-28 00:00:12.030000 PDT,+1777.98+25.8419d
2017-03-28 00:00:12.040000 PDT,+1774.05+25.8419d
2017-03-28 00:00:12.050000 PDT,+1770.09+25.8419d
2017-03-28 00:00:12.060000 PDT,+1766.12+25.8419d
2017-03-28 00:00:12.070000 PDT,+1762.13+25.8419d
2017-03-28 00:00:12.080000 PDT,+1758.13+25.8419d
2017-03-28 00:00:12.090000 PDT,+1754.11+25.8419d
2017-03-28 00:00:12.100000 PDT,+1750.07+25.8419d
2017-03-28 00:00:12.110000 PDT,+1746.03+25.8419d
2017-03-28 00:00:12.120000 PDT,+1741.97+25.8419d
2017-03-28 00:00:12.130000 PDT,+1737.91+25.8419d
2017-03-28 00:00:12.140000 PDT,+1733.83+25.8419d
2017-03-28 00:00:12.150000 PDT,+1729.75+25.8419d
2017-03-28 00:00:12.160000 PDT,+1725.66+25.8419d
2017-03-28 00:00:12.170000 PDT,+1721.56+25.8419d
2017-03-28 00:00:12.180000 PDT,+1717.46+25.8419d
2017-03-28 00:00:12.190000 PDT,+1713.36+25.8419d
2017-03-28 00:00:12.200000 PDT,+1709.24+25.8419d
2017-03-28 00:00:12.210000 PDT,+1705.13+25.8419d
2017-03-28 00:00:12.220000 PDT,+1701.01+25.8419d
2017-03-28 00:00:12.230000 PDT,+1696.89+25.8419d
2017-03-28 00:00:12.240000 PDT,+1692.77+25.8419d
2017-03-28 00:00:12.250000 PDT,+1688.65+25.8419d
2017-03-28 00:00:12.260000 PDT,+1684.52+25.8419d
