# file...... ../data_vfd_out_rec_curr_A.csv
# date...... Wed Apr 26 14:48:24 2017
# user...... gour967
# host...... (null)
# target.... vfd 20
# trigger... (none)
# interval.. 1
# limit..... 0
# timestamp,current_out_A
2017-03-28 00:00:07.940000 PDT,+0.238095+146.621d
2017-03-28 00:00:07.950000 PDT,+0.238095+137.846d
2017-03-28 00:00:07.960000 PDT,+0.238095+129.408d
2017-03-28 00:00:07.970000 PDT,+0.238095+121.308d
2017-03-28 00:00:07.980000 PDT,+0.238095+113.546d
2017-03-28 00:00:07.990000 PDT,+0.238095+106.121d
2017-03-28 00:00:08.000000 PDT,+0.238095+99.0331d
2017-03-28 00:00:08.010000 PDT,+0.238095+92.2831d
2017-03-28 00:00:08.020000 PDT,+0.238095+85.8706d
2017-03-28 00:00:08.030000 PDT,+0.238095+79.7956d
2017-03-28 00:00:08.040000 PDT,+0.238095+74.0581d
2017-03-28 00:00:08.050000 PDT,+0.238095+68.6581d
2017-03-28 00:00:08.060000 PDT,+0.238095+63.5956d
2017-03-28 00:00:08.070000 PDT,+0.238095+58.8706d
2017-03-28 00:00:08.080000 PDT,+0.238095+54.4831d
2017-03-28 00:00:08.090000 PDT,+0.238095+50.4331d
2017-03-28 00:00:08.100000 PDT,+0.238095+46.7206d
2017-03-28 00:00:08.110000 PDT,+0.238095+43.3456d
2017-03-28 00:00:08.120000 PDT,+0.238095+40.3081d
2017-03-28 00:00:08.130000 PDT,+0.238095+37.6081d
2017-03-28 00:00:08.140000 PDT,+0.238095+35.2456d
2017-03-28 00:00:08.150000 PDT,+0.238095+33.2206d
2017-03-28 00:00:08.160000 PDT,+0.238095+31.5331d
2017-03-28 00:00:08.170000 PDT,+0.238095+30.1831d
2017-03-28 00:00:08.180000 PDT,+0.238095+29.1706d
2017-03-28 00:00:08.190000 PDT,+0.238095+28.4956d
2017-03-28 00:00:08.200000 PDT,+0.238095+28.1581d
2017-03-28 00:00:08.210000 PDT,+0.238095+28.1581d
2017-03-28 00:00:09 PDT,+0.238095+28.1581d
2017-03-28 00:00:10 PDT,+0.238095+28.1581d
2017-03-28 00:00:11 PDT,+0.238095+28.1581d
2017-03-28 00:00:12.000000 PDT,+0.238095+28.1581d
2017-03-28 00:00:12.010000 PDT,+0.238095+28.1581d
2017-03-28 00:00:12.020000 PDT,+0.238095+27.6706d
2017-03-28 00:00:12.030000 PDT,+0.238095+26.6956d
2017-03-28 00:00:12.040000 PDT,+0.238095+25.2331d
2017-03-28 00:00:12.050000 PDT,+0.238095+23.2831d
2017-03-28 00:00:12.060000 PDT,+0.238095+20.8456d
2017-03-28 00:00:12.070000 PDT,+0.238095+17.9206d
2017-03-28 00:00:12.080000 PDT,+0.238095+14.5081d
2017-03-28 00:00:12.090000 PDT,+0.238095+10.6081d
2017-03-28 00:00:12.100000 PDT,+0.238095+6.22059d
2017-03-28 00:00:12.110000 PDT,+0.238095+1.3456d
2017-03-28 00:00:12.120000 PDT,+0.238095-4.0169d
2017-03-28 00:00:12.130000 PDT,+0.238095-9.86689d
2017-03-28 00:00:12.140000 PDT,+0.238095-16.2045d
2017-03-28 00:00:12.150000 PDT,+0.238095-23.0295d
2017-03-28 00:00:12.160000 PDT,+0.238095-30.342d
2017-03-28 00:00:12.170000 PDT,+0.238095-38.142d
