# file...... ../data_vfd_in_rec_pow_A.csv
# date...... Wed Apr 26 14:48:24 2017
# user...... gour967
# host...... (null)
# target.... vfd 20
# trigger... (none)
# interval.. 1
# limit..... 0
# timestamp,power_in_A
2017-03-28 00:00:07.720000 PDT,+1483.11+718.305j
2017-03-28 00:00:07.730000 PDT,+1485.68+719.547j
2017-03-28 00:00:07.740000 PDT,+1488.24+720.79j
2017-03-28 00:00:07.750000 PDT,+1490.81+722.033j
2017-03-28 00:00:07.760000 PDT,+1493.38+723.277j
2017-03-28 00:00:07.770000 PDT,+1495.95+724.52j
2017-03-28 00:00:07.780000 PDT,+1498.52+725.764j
2017-03-28 00:00:07.790000 PDT,+1501.08+727.009j
2017-03-28 00:00:07.800000 PDT,+1503.65+728.253j
2017-03-28 00:00:07.810000 PDT,+1506.22+729.497j
2017-03-28 00:00:07.820000 PDT,+1508.79+730.742j
2017-03-28 00:00:07.830000 PDT,+1511.36+731.986j
2017-03-28 00:00:07.840000 PDT,+1513.93+733.23j
2017-03-28 00:00:07.850000 PDT,+1516.5+734.474j
2017-03-28 00:00:07.860000 PDT,+1519.07+735.718j
2017-03-28 00:00:07.870000 PDT,+1521.64+736.962j
2017-03-28 00:00:07.880000 PDT,+1524.2+738.205j
2017-03-28 00:00:07.890000 PDT,+1526.77+739.448j
2017-03-28 00:00:07.900000 PDT,+1529.33+740.69j
2017-03-28 00:00:07.910000 PDT,+1531.9+741.931j
2017-03-28 00:00:07.920000 PDT,+1534.46+743.172j
2017-03-28 00:00:07.930000 PDT,+1537.02+744.412j
2017-03-28 00:00:07.940000 PDT,+1539.58+745.651j
2017-03-28 00:00:07.950000 PDT,+1542.13+746.889j
2017-03-28 00:00:07.960000 PDT,+1544.69+748.126j
2017-03-28 00:00:07.970000 PDT,+1547.24+749.361j
2017-03-28 00:00:07.980000 PDT,+1549.79+750.596j
2017-03-28 00:00:07.990000 PDT,+1552.33+751.828j
2017-03-28 00:00:08.000000 PDT,+1554.87+753.06j
2017-03-28 00:00:08.010000 PDT,+1557.41+754.289j
2017-03-28 00:00:08.020000 PDT,+1559.95+755.517j
2017-03-28 00:00:08.030000 PDT,+1562.48+756.743j
2017-03-28 00:00:08.040000 PDT,+1565+757.966j
